tweet_no	tweet_text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
290	Един ден, се надявам, живота пак да се върне към ония красоти и планове, които бях наредила before covid19 https://t.co/nEViqXb884	no	nan	nan	nan	nan	no	no
291	Министър Ангелов: От утре във Варна ще заработи Координационен център за разпределение на пациентите с COVID-19 в лечебни заведения https://t.co/hqnVDkjtdl https://t.co/qes5yMg4AB	yes	no	yes	no	no	no	no
292	За разлика от икономическите поражения, които могат да се опишат с цифри, под повърхността ще останат необхватни други последици - психологическите. Най-елементарното е да се започват емисиите със данни на оздравелите, а не починалите от #COVIDー19	no	nan	nan	nan	nan	no	no
293	До всички хотелиери, които отново са отворили врати и посрещат гостите на Пловдив 🛎️ 📣Последният хотел от поредицата ни с добри практики и мерки, които световните хотелиерски вериги предприемат в отговор на #COVID19 е Four Seasons! Вижте повече във Facebook страницата ни!	no	nan	nan	nan	nan	no	no
294	Бежанско-мигрантска служба на @BGRedCross с подкрепата на @BulgariaUNHCR откри гореща телефонна линия, на която предоставя актуална информация на 7 езика за задължителните мерки и препоръки в извънредното положение срещу разпространението на коронавирус: https://t.co/rIF3GXn0Ad https://t.co/P0fJPxytyo	yes	no	yes	no	no	no	no
295	Помагало, японско. Незнам дали има по аптеките, взима се по време на първи симптоми, за 4 дена хората се оправяли. https://t.co/1ybJ0BgDlt https://t.co/j3Srsv3PEZ	no	nan	nan	nan	nan	yes	yes
296	Ден шести от живота с COVID Болният бива. Даже съвсем прилично се чувства. Съседите още не са ни запалили. Но пък имаме още един положителен от близкото обкръжение. Да не чувам, че съм се провалила в създаването на семейно огнище 😕 https://t.co/72qv0Z6eTZ	no	nan	nan	nan	nan	no	no
297	По улиците във Варна летят напечатани позиви като от преди 9.IX.1944 😆 https://t.co/Z9tCv3B7o4	no	nan	nan	nan	nan	no	no
298	Всяка помощ е от значение в борбата с COVID-19. Затова даряваме по 1 лев за всяка фактура, платена през Моят А1 и на https://t.co/CIImympy8U &gt;&gt;&gt; https://t.co/N7dXqwIj9y #ОтговорниЗаедно https://t.co/vrFNgips82	yes	no	yes	no	no	no	no
299	За проекта, класиран на второ място, работят новатори от Германия и Чехия. #movebg #editbg #innovation #EUvsVirus #eit #deeptech #hackathon #startup #smes #scaleups #bulgaria #europeanunion #COVID19 #bigdata #EmergingTechnologies #TechNews #society #socialinnovation #digitalhub https://t.co/fX37nTiqCJ	no	nan	nan	nan	nan	no	no
300	Министър Росен #Желязков: ЕК да осигури балансиран и справедлив подход при прилагането на схемата за ефективност. ДАНО трябва да имат възможност да възстановят разходите си за 2020/2021. Необходим е всеобхватен пакет от регулаторни мерки на равнище ЕС https://t.co/wyEXcDiXm8	yes	no	yes	no	no	no	no
301	Верно ще станем 💯 кила с тия изолации! 🥴 #COVID19	no	nan	nan	nan	nan	no	no
302	.@EP_President Сасоли: В отговор на разпространението на коронавируса Европейският парламент предприема допълнителни предпазни мерки. Искаме Парламентът да продължи своята законодателна дейност, като в същото време вземе мерки. Прочетете: https://t.co/UXXzNmLuEB #COVID19 https://t.co/QqP42C9Tnw	yes	no	yes	no	no	no	no
303	Новите случаи на COVID-19 в страната са 6 https://t.co/eXlpHLScjI	yes	no	yes	no	no	no	no
304	🇪🇺 ✈ От създаването си през май хуманитарният въздушен мост на ЕС е доставил 1 100 тона медицинско оборудване и е превозил близо 1 500 медицински и хуманитарни работници до критични зони по света 🌎. В условията на пандемията #coronavirus той предоставя на жизненоважна помощ. https://t.co/Q6okNAc0BB	yes	no	yes	no	no	no	no
305	Просто споделям, няма да водя дискусия с никого. Всеки може да си провери твърденията и да прецени дали е съгласен или не. Facts about Covid-19 – Swiss Propaganda Research https://t.co/O0DTFMxEFz	no	nan	nan	nan	nan	no	no
306	Позиция на БОЛД на тема „Извънредното положение и демокрацията” Българската общност за либерална демокрация е загрижена, че сред жертвите на пандемията от COVID-19 и извънредното положение може да бъде демокрацията в България. Пълната позиция: https://t.co/6f6lTeq3H8	no	nan	nan	nan	nan	no	no
307	Над 150 държави в глобален план за ваксина срещу COVID-19 https://t.co/4KWsHwY3QT	yes	no	yes	no	no	no	no
308	Напомняме ви за дискусията в сряда “The Big Change: Covid-19 и климатичната криза“. Вижте перспективите на еколога, предприемача и учения за зеления рестарт след пандемията. Планирайте времето от 18:00 до 19:30 часа утре. https://t.co/v1oZHHzToZ #movebg #editbg #poweredbymovebg	no	nan	nan	nan	nan	no	no
309	През април @eurofound започна широко проучване за непосредствените икономически и социални ефекти на кризата с #COVID19. 📊🔍Първите резултати можете да видите тук ➡ https://t.co/LObvAbOup6 📢 Проучването е отворено до 1 юли https://t.co/baXi7XkHhL https://t.co/6g6utO1jw3	no	nan	nan	nan	nan	no	no
310	Господ определено е българин, че при тази организация... https://t.co/OQIW7PnxD7 via @tripplesworld	no	nan	nan	nan	nan	no	no
311	Според кабала, ако наистина сме в преход към ново поколение, от #егоизъм към алтруизъм, тогава единственият сигурен лек за пандемията от #covid19 ще бъде само доброто сближаване между хората, чрез взаимната грижа. Това трябва да правят обществото и правителството! #криза #решение	no	nan	nan	nan	nan	no	no
312	(Нов кошмар застигна простосмъртните заради извънредното положение и COVID-19) от Зарата - Новини - https://t.co/KZXF1qZ3rD #новини #коронавирус https://t.co/J8ryYgRhZU	no	nan	nan	nan	nan	no	no
313	За да отпразнувам пост номер 900 в Инстаграм, представям на вашето внимание салата Слънце по рецепта на @birenoshkembe Толкова лесна и проста за изпълнение, че няма да подценявам аудиторията си да я описвам стъпка по стъпка. #glarus #beer #StayHome #StaySafe #supportlocal https://t.co/1C0cHUWi8O	no	nan	nan	nan	nan	no	no
314	Нов блог пост. Една добра новина и лъч надежда: https://t.co/FBpbVFAPLB #minimalism #minimalismchallenge #quarantine #hope #consciousness #epidemic #positivevibes #positivethoughts #минимализъм #епидемия #карантина #смисъл #позитив #позитивно #надежда #мотивация #dresslandblog https://t.co/OdE2sLo0Bk	no	nan	nan	nan	nan	no	no
315	Вече и с превод на Български https://t.co/bolQYpBIOD	no	nan	nan	nan	nan	no	no
316	60 нови заразени с COVID-19 у нас, увеличават се тежките случаи Повече вижте тук: https://t.co/oE54flVStf https://t.co/fzkoidriAD	yes	no	yes	no	no	no	no
317	Испания обяви над 100 хил. заразени с COVID-19 и за пети ден е с над 800 жертви https://t.co/vdOkJD51ck	yes	no	yes	no	no	no	no
318	който не знае—2 метра са колкото мъжете които жените искат да ебат https://t.co/PoLV2rpGOn	no	nan	nan	nan	nan	no	no
319	Да живее вечната дружба с нашият Голям Брат. https://t.co/mQLhKo6BzO	no	nan	nan	nan	nan	no	no
320	Ръст на заразените с #COVID19 в #Гърция и предстоящо затягане на мерките в някои райони на страната @MyFamilyBg https://t.co/yxP2vYhtuM	yes	no	yes	no	no	no	no
321	Нюзрумите в момента, търсейки COVID-19 ъгъла около смъртта на Милен Цветков https://t.co/ItabrjZPxn	no	nan	nan	nan	nan	no	no
322	С преподаватели и ученици Марио е помогнал да се насърчи редовният обмен на информация за кризата с коронавируса, използвайки достоверни и компетентни източници. Вижте повече истории на европейци, които се борят срещу коронавируса: https://t.co/mMZ3QVGp05 #ЕвропаСрещуCOVID19 https://t.co/mSvg2vVrTm	yes	no	yes	no	no	no	no
323	Още една стъпка отново към свободното и безопасно пътуване в ЕС https://t.co/aVp8FCmozf Държавите от ЕС се споразумяха за оперативна съвместимост на мобилни приложения за проследяване и предупреждаване срещу разпространението на #coronavirus.#EUtourism https://t.co/Qzx9PEGfIf	yes	no	yes	no	no	no	no
324	Джордже Джокович: Направихме всичко, за да уважим мерките против Covid-19 https://t.co/i2nU09Cn17 https://t.co/aKBYuEHq2n	no	nan	nan	nan	nan	no	no
325	79 нови случая на COVID-19 у нас отчита Националната информационна система https://t.co/tr4Bat9CBk	yes	no	yes	no	no	no	no
326	Доклад от окото на бурята. Нишката има доста полезна информация също https://t.co/nWKPVMu6d3	no	nan	nan	nan	nan	no	no
327	Надявам се, че всички сте добре, стоите си вкъщи и се отдавате на любими неща. 😊😊 #StayHomeSaveLives	no	nan	nan	nan	nan	no	no
328	Виенска болница за пръв път в Европа трансплантира бял дроб на болна от COVID-19 https://t.co/SlAK9y2GDz	yes	no	yes	no	no	no	no
329	Полезна информация при профилактика и лечение на COVID-19: Едно пакетче Терафлу се равнява на 1024 пакетчета Гигафлу и 1'048'576 Мегафлу.	no	nan	nan	nan	nan	no	no
330	Малко история на пандемичната икономика - много поучителна. https://t.co/ew8wnyOdPJ	no	nan	nan	nan	nan	no	no
331	През следващите дни ЕК ще достави 1.5 млн. предпазни маски за здравните работници в 17 държави-членки и 🇬🇧. Те са част от общо 10 млн. маски от Механизма за спешна подкрепа, които ще бъдат доставени в следващите 6 седмици. #coronavirus #StrongerTogether 🇪🇺https://t.co/LGkhZNbiuy https://t.co/NwcLdLpn5H	yes	no	yes	no	no	no	no
332	Ден 35 от карантината: Предлагам тумбите, напускащи градовете, за да се натъпчат и напият за празника, директно да се пренасочват за доброволци в местните отделения за лечение на COVID-19. Иначе няма да се научите, че никой лекар не е длъжен да се грижи за егоистичните ви задници	no	nan	nan	nan	nan	no	no
333	https://t.co/8Z9naL3DiI Мора да им е убаво нашето знаме 😅 .... А и убаво личи 💪	no	nan	nan	nan	nan	no	no
334	1206 са вече излекуваните от COVID-19 лица у нас https://t.co/0jkZOGSVCF	yes	no	yes	no	no	no	no
335	Преминаването на границата от 200 заразени на ден с #COVID19 е много сериозен сигнал, че трябва да се възстановят част от мерките https://t.co/6c5Ddbzn9e	yes	no	yes	no	no	no	yes
336	Европейската комисия ни предизвиква да се включим в борбата с дезинформацията за COVID-19 https://t.co/lvV2nt2P6z	no	nan	nan	nan	nan	no	no
337	1555 са потвърдените случаи на COVID-19 в България, отменя се задължителното носене на маски https://t.co/aMckzwSgx4	yes	no	yes	no	no	no	no
338	#Дания компенсира 75% от загубите на #Самонаети и #Самоосигуряващи се лица, вследствие #CoronaCrisis #COVID19 https://t.co/Pk2ufv1kuv	yes	no	yes	no	no	no	no
339	Представям си как си инжектираш едновременно руска и английска ваксина и придобиваш имунитет срещу covid-19, обаче станеш от Челси	no	nan	nan	nan	nan	no	no
340	в Росий карат някакъв странен вирус, който кара хората да летят от прозорци. май има ваксина - демокрация, ама там резултатите от нея са като от тест за COVID-19, масово false positive.	no	nan	nan	nan	nan	no	no
341	Туристическият сезон след COVID-19: близо 800 медицински центъра ще лекуват туристи по Черноморието https://t.co/4qN7Ka4VN6	yes	no	yes	no	no	no	no
342	Из: поздравителна картичка за рожден ден. Автор: 8-годишната ни дъщеря. Коментар: аз съм 100% съгласен! Авада кедавра! за COVID-19! (Само не знам, подвластен ли е на магии тоя вирус...) https://t.co/Bc77VxCOXM	no	nan	nan	nan	nan	no	no
343	Дългосрочният бюджет на ЕС и кризата с #COVID19 са в центъра на вниманието на депутатите тази седмица, като много от тях продължават да работят дистанционно &gt;&gt;&gt; https://t.co/I4h3GK9EHi https://t.co/ksCol4fBp4	no	nan	nan	nan	nan	no	no
344	📢С оглед на глобалните последствия от⚠️#COVID19 (#коронавирус), @Stone_Computers може да предостави на бизнеса Ви нужните технологични средства, за да улесни отдалечения начин на работа💻 ℹ️ ☎️ +35929657033 ✉️ office@stone.bg,sales@stone.bg #StayHome https://t.co/igaF87xkMb https://t.co/TkbL9tplI1	no	nan	nan	nan	nan	no	no
345	Фалшиви такси Covid-19 върху доставки от куриер. Прокуратурата погва фирмите https://t.co/utus5MI17x	yes	no	yes	no	no	no	no
346	422 от лицата, при които е потвърден COVID-19 у нас, са вече излекувани https://t.co/Yc4NVkdHnR	yes	no	yes	no	no	no	no
347	Наръчник за миене на ръце: https://t.co/yrgRME2eWS	no	nan	nan	nan	nan	no	no
348	Вашият град се нуждае от вас. Следването на съветите на правителството е ключово, за да защитите себе си и другите. Следвайте този Съвет 👉 https://t.co/FkVedztsqM Following the gov's advice on #COVID19 is key to protecting yourself &amp; others. @MayorofLondon #LondonTogether https://t.co/aE6Jl6rnv9	no	nan	nan	nan	nan	no	no
349	Във връзка със земетресението от снощи : Към този момент, никой не може да умре от нещо друго, освен от Covid 19, затова, очевидно, няма от какво да се притесняваме ....	no	nan	nan	nan	nan	no	no
350	Посолството на САЩ дари 900 теста за COVID-19 на ВМАhttps://t.co/GemOfIaFYS https://t.co/7Gc9IG9FTO	yes	no	yes	no	no	no	no
351	Кого цитира “либералът” Виктор Лилов https://t.co/70m64fb6Oe https://t.co/86hl56IVU5 https://t.co/eZKtcNDtem	no	nan	nan	nan	nan	no	no
352	Някои много интересни данни по въпроса защо смъртността от #COVID19 в Австрия е по-ниска, отколкото в други държави. По всичко изглежда най-голямо влияние има фактът, че са се заразили по-млади хора. https://t.co/yCFlFI6B9Q	yes	no	yes	no	no	no	no
353	308 са вече излекуваните от COVID-19 пациенти у нас https://t.co/9fzDWPp17h	yes	no	yes	no	no	no	no
354	Цялото управление на кризата с #coronavirus е като бартер с фурми.	no	nan	nan	nan	nan	no	no
355	Противоепидемичните мерки остават в пълна сила за „Мини Марица-изток“ ЕАД до края на май https://t.co/gyYweJfGTE	yes	no	yes	no	no	no	no
356	Само Борисов,Пеевски и Горанов май са оптимисти в Европа! https://t.co/NNE2GXuRX8	no	nan	nan	nan	nan	no	no
357	#Германия удължава забраната за #пътувания #COVID19 https://t.co/DoSaDBGEtm	yes	no	yes	no	no	no	no
358	Доц. Чорбанов: Случайното заразяване с Covid-19 е изключително рядко | Днес.dir.bg https://t.co/cTNexbiAuX	no	nan	nan	nan	nan	no	no
359	Bosch разработва бърз тест за COVID-19 отнемащ 2 часа и половина за резултат. Той действа чрез устройството #Vivalytic, разработено от #BoschHealthcareSolutions: https://t.co/qhRAMQLmbH @BoschGlobal @Bosch_IO #Bulgaria #BoschEngineeringCenterSofia https://t.co/GSzipTKXHn	yes	no	yes	no	no	no	no
360	никой: абсолютно никой: нито една жива душа: @Tangerrinka за комуникацията секса: ФУТБОЛ! covid-19, u suck! https://t.co/OJm8BzU123	no	nan	nan	nan	nan	no	no
361	Още през април: 8 милиарда евро за 100 000 малки и средни предприятия като подкрепа за малките и средни предприятия, засегнати от #COVID19 https://t.co/9IwcTrW2X9 #investeu https://t.co/ewnHHDlCys	yes	no	yes	no	no	no	no
362	https://t.co/ZqdNve4wQ0 Коронавирус COVID-19 в България и по света	no	nan	nan	nan	nan	no	no
363	Каква е подкрепата за туристическия сектор по време на кризата от пандемията от #COVID19, чуйте в аудио файла българският евродепутат от ГЕРБ/ЕНП @andreykovatchev ⬇️ #EUsolidarity 🇪🇺 🤝 #StrongerTogether #UnitedInSolidarity #ЕвропаСрещуCovid19 https://t.co/YM5kzSD7U9	no	nan	nan	nan	nan	no	no
364	100 без случайна зараза: “Нищо не е свършило, трябва да внимаваме” Нашия тиквеник края на май: “Най-добре от всички се справихме, хвърляйте маските и айде на мач!” https://t.co/hYvj0HJB5X	yes	no	yes	no	no	no	nan
365	междувременно мангалите в Индия бият доктори, защото вярват, че вируса не ги засяга https://t.co/4Dp8ZYHMek	no	nan	nan	nan	nan	yes	no
366	Изследване в Южна Корея показва, че няма мутации на COVID-19 https://t.co/7M4U6ac64S	yes	no	yes	no	no	no	no
367	Започва последната седмица на „EYE онлайн“ (след отлагането на #EYE2020 заради пандемията), през която млади хора от цяла Европа ще имат възможността да се запознаят виртуално и да обменят мнения с експерти, законодатели, активисти: https://t.co/thuJcYtyH1 #ЕвропаСрещуCovid19. https://t.co/ymzvtNa8We	no	nan	nan	nan	nan	no	no
368	#Covid19 продължава да се разпространява, засягайки нови държави. Тревожно е положението в Пакистан, където има около 193 000 случая с над 3700 смъртни случая. Очаква се броят на инфекциите да достигне 300 000 до края на месеца и над милион до края на юли или началото на август.	yes	no	yes	no	yes	no	no
369	На живо 🔴🎥 ЕК предлага нови мерки, които да подготвят ЕС за възможни нови пикове на #COVID19 @MargSchinas @SKyriakidesEU #UnitedAgainstCoronavirus https://t.co/w2LP7WXTSR	no	nan	nan	nan	nan	no	no
370	Здравният министър на Израел с COVID-19, след като го обяви за „божие наказание за хомосексуалността“ https://t.co/PoXVwwUaWC https://t.co/p4WbkO85Va	no	nan	nan	nan	nan	no	no
371	Два дни без смъртни случаи от COVID-19 в Македония https://t.co/2PrNV4i66J	yes	no	yes	no	no	no	no
372	Увеличава ли броя на по-младите с #COVID19? #България #Ангел #Кунчев @MyFamilyBg https://t.co/M3ZZvnIDRx	no	nan	nan	nan	nan	no	no
373	80 фармацевтични гиганта търсят ваксина срещу COVID-19 https://t.co/Y0IpSZR54d	yes	no	yes	no	no	no	no
374	Европейски държави карантинират пристигащите от България #COVID19 https://t.co/rFDD6zKOk8	yes	no	yes	no	no	no	no
375	Добро утро в сряда, приятели! Време е за тестове за COVID-19 и чаша добро настроение!💋 https://t.co/6AoLoeoEAB	no	nan	nan	nan	nan	no	no
376	Горди сме, че дарихме средства в новия фонд „Обединени срещу COVID-19“. В него заедно с други компании вече събрахме повече от 815 000 лева. Вярваме, че солидарни и обединени сме по-силни от всяка зараза! https://t.co/emFXm18H0c	yes	no	yes	no	no	no	no
377	Секторът на комуналните услуги е от решаващо значение за поддържането на обществото, дори по време на #coronavirus кризата ⛽️🚰⚡️ Знаете ли, че 4,6 милиона души работят в сектора на комуналните услуги в ЕС, което представлява 2,3% от всички заети лица ❓ https://t.co/Ch1450jBFp	yes	no	yes	no	no	no	no
378	то е просто едно грипче https://t.co/PQKS9j8e6r	no	nan	nan	nan	nan	no	no
379	Рекордни 166 са новозаразените за денонощие от Covid 19 в България https://t.co/6fPHsqJlIj	yes	no	yes	no	no	no	no
380	Великден е на 19 април 2020. На тази дате се отбелязва не само в България, но и във всички православни страни. През 2020г., Католиците отбелязват Великден на 12 април. Разпети петък, наричан още Велики петък, се пада на 17 април в България. #COVID19 https://t.co/Akw34rj5md	no	nan	nan	nan	nan	no	no
381	Национален портал публикува отворени данни за COVID-19 https://t.co/D4x5IyeIpn	no	nan	nan	nan	nan	no	no
382	🎙️Гледайте пресконференцията на @EP_President Сасоли за решенията на ЕП в отговор на кризата с коронавируса след 17 ч. днес: https://t.co/dWb3ZEkCEJ &amp; https://t.co/IbPYxDSb4T Повече информация ще намерите тук: https://t.co/5aX3mkktyz https://t.co/yFf3Vd1wEt	no	nan	nan	nan	nan	no	no
383	Преживял съм: Чернобил - 86-та Купонната с-ма - 90-та Жан Виденовата зима - 96-97 ма Янчулев, Костов и Софиянски Фукушима - 2011-та Края на света 21.12.2012-та Ебола - 2014-та COVID-19 - 2020-та Но никога няма да преживея отпадането от Ботев за Купата с гол в 94” миналата година	no	nan	nan	nan	nan	no	no
384	За първи път виждам строен план от български курорт как ще действа това лято. Останалите са само ах и ох https://t.co/hDSHNUBhGZ	no	nan	nan	nan	nan	no	no
385	сега е редно да върнат и кеворкян по бенете https://t.co/LujzlG9pHr	no	nan	nan	nan	nan	no	no
386	качил съм 4 килограма. благодаря ти covid-19!	no	nan	nan	nan	nan	no	no
387	Злорадство по време на корона https://t.co/lXu7IJcyGH	no	nan	nan	nan	nan	no	no
388	Не се подигравай на хората, които пишат малоумни неща за Covid-19! Един ден някой от тях може да стане президент на САЩ!	no	nan	nan	nan	nan	no	no
389	#ЕвропаСрещуCOVID19 В началото на кризата с коронавируса група „Бон-Бон“ призова хората да останат вкъщи с изпълнение на песента Earth Song. Включиха се над 90 членове на групата от различни краища на Европа, показвайки, че винаги можем да сме обединени: https://t.co/TCcJ7wPnhF https://t.co/kln9M8J5yf	no	nan	nan	nan	nan	no	no
390	📢 Европейският институт за иновации и технологии @EITeu осигурява 60 млн. евро финансиране за предприемачи и МСП с иновативни решения 💡 в борбата срещу кризата с #coronavirus. #EITCrisisResponse Вижте повече ℹ https://t.co/fIVOP7gw3t https://t.co/kyTWySQP2U	yes	no	yes	no	no	no	no
391	Повторното заразяване се потвърждава все повече. https://t.co/x6OXiArJ63	no	nan	nan	nan	nan	no	no
392	Райфайзенбанк България и ЕИФ договориха 18 млн. евро в подкрепа на българския иновативен бизнес по програмата на Европейския съюз InnovFin. Гаранционната схема е част от политиката на ЕС за справяне с икономическата криза, причинена от COVID-19: https://t.co/JtZSuvxst3	yes	no	yes	no	no	no	no
393	🇪🇺Европейската солидарност е: 🇫🇷 дава 1 милион маски на 🇮🇹 🇩🇪 предоставя 175 места за интензивни грижи на пациенти от 🇫🇷 и 🇮🇹 🇵🇱 и 🇷🇴 изпращат медицински екипи в 🇮🇹 🇨🇿 дарява 10 000 защитни облекла на 🇮🇹 и 🇪🇸 #ЕвропейскаСолидарност #COVID19 #коронавирус https://t.co/tdn1kXP2tF	yes	no	yes	no	no	no	no
394	Българският евродепутат от ГЕРБ/ЕНП, зам.-председател на @EPPGroup д-р @andreykovatchev за Следващо поколение - #NextGenerationEU #EUsolidarity 🇪🇺 🤝 #StrongerTogether #UnitedInSolidarity #ЕвропаСрещуCovid19 #EuropeansAgainstCovid19 ℹ️ Вижте видеото ⬇️ https://t.co/0t8r6Wi8nq	no	nan	nan	nan	nan	no	no
395	Шефът на РЗИ - Враца: Врачани, не спете със софиянци. Има COVID-19! :) Не се прегръщайте и целувайте! Предлагам и ние да бойкотираме врачани!	no	nan	nan	nan	nan	no	no
396	отиваш на Витоша с жената и детето, телефона звъни, Гешев е: още 50 сантиметра вдясно ако обичате! https://t.co/3izHEDH64O	no	nan	nan	nan	nan	no	no
397	Ако се надяваме на оставка 😂 Бойко Борисов: Тежките решения са за COVID-19 и Зелената сделка https://t.co/TxS0UXFG8z	no	nan	nan	nan	nan	no	no
398	Не че дървените глави не ми обясняай, аз по-добре зная ще вдянат идеята - ама все пак го шервам. https://t.co/DwQaWoAvUx	no	nan	nan	nan	nan	no	no
399	Малка инвестиция- сигурна печалба! Не роптай, моля! Карантината е благодат за будните и предприемчивите. https://t.co/kGVXr2O6ah #късразказ #бгстартъпидеи #смях #ЗапискиПоИзвънреднотоПоложение #българскиблогер #забавниразкази #сатира #хумор #българия #коронабългария #COVIDー19	no	nan	nan	nan	nan	no	no
400	Насред кризата с COVID-19 Huawei застава начело при смартфоните https://t.co/kN3pxtkuuy	no	nan	nan	nan	nan	no	no
401	От началото на пандемията 603 са починали от COVID-19 у нас https://t.co/69nWE8TyuI	yes	no	yes	no	no	no	no
402	Ако си мислите, че няма страна, в която няма #COVID19 в момента, жестоко се лъжете. И България далеч не е единствената, в която не се знае кой е донесъл, колко са заразени, колко са го изкарали вече и тн.	no	nan	nan	nan	nan	no	no
403	Отново има заразени с COVID-19 във Варна: Новите заразени с коронавирус за последните двадесет и четири часа са 117. По този начин общия брой на заразените с COVID-19 в България става 3872. Това сочат данните на Единния информационен портал. Във Варна… https://t.co/dSUjoE9urg	yes	no	yes	no	no	no	no
404	Новите техологии в услуга на един по-добър свят, в който с един скеч борд можеш да коментираш по същество както мерките на СО, така и #COVID19 приложенията💙https://t.co/HjdP58UlD3	no	nan	nan	nan	nan	no	no
405	Благодарение на създадения от ЕС хуманитарен въздушен мост, спешни пратки, свързани с #coronavirus ще бъдат транспортирани до най-критичните зони на 🌍. Първият ✈️ на ЕС ще превози 60 хуманитарни работници от различни НПО и 13 тона хуманитарни товари. https://t.co/z1VFxBa2Ul	yes	no	yes	no	no	no	no
406	@igkolev Целта е да пазим другите, а не себе си. https://t.co/k9hliRjnNp	no	nan	nan	nan	nan	no	no
407	Само за ден 512 души в Испания са починали от COVID-19 https://t.co/7i0gjr4cf9	yes	no	yes	no	no	no	no
408	27 милиона души работят пряко или непряко в туристическия сектор в ЕС. Заради пандемията от коронавирус индустрията е силно засегната. ЕП настоява за по-голяма подкрепа на дружествата и работниците в сектора, както и на пътниците: https://t.co/jltpgekWp8 #ЕвропаСрещуCOVID19 https://t.co/yw2DxSFR4u	yes	no	yes	no	no	no	no
409	.@BoykoBorissov представи нови социално-икономически мерки за над 1 милиард лева в отговор на пандемията от COVID-19 https://t.co/3AZgqzOLTj https://t.co/nE8GSb7OuC	yes	no	yes	no	no	no	no
410	В реално време, вместо да следим времето, така се е замътило, че все едно е торнадо 😔https://t.co/Kb0mTtJHnX	no	nan	nan	nan	nan	no	no
411	⅞TV - В „Студио Хъ“ гостува доц. Атанас #Мангъров за предстоящата учебна година и Ковид-истерията https://t.co/VjDSzZL1sK #България #МЗ #НОЩ #коронавирус #училище #здравеопазване #пари #COVID19	no	nan	nan	nan	nan	no	no
412	Ути Бъчваров бил в болница заради COVID-19https://skandal.bg/news/15924674289423/uti-bachvarov-bil-v-bolnitsa-zaradi-covid-19 https://t.co/EhloMdaATa	yes	yes	no	no	no	no	no
413	11 са излекувани от COVID-19 и изписани от болница у нас https://t.co/y21vctxqpQ	yes	no	yes	no	no	no	no
414	#Синдикат #Образование на #учителите към @podkrepa няма да допусне отклоняване на средства към дейности по справяне с #COVID19 @MyFamilyBg https://t.co/seofqsloDh	no	nan	nan	nan	nan	no	no
415	Добри новини от Оксфорд. Резултатите от фаза 1 на изпитванията на ваксина срещу Covid-19 са обнадеждаващи. Долният туит съдържа и линк към изследването. https://t.co/69mqbb1Upx	yes	no	yes	no	yes	no	yes
416	190 са вече лицата, излекувани от COVID-19 в България https://t.co/o5G1G5Y2A4	yes	no	yes	no	no	no	no
417	📢#Esri предоставя безплатен достъп до #ГИС софтуер на студенти. ✔️Програмата #LearnArcGIS има за цел да подпомогне дистанционното обучение на студентите по време на пандемията от #COVID19. ✔️За повече информация: https://t.co/uQ820vVY2Y https://t.co/7FgMPOqDsc	no	nan	nan	nan	nan	no	no
418	Шах и мат зоофоби.) https://t.co/YSz7x3WEF5	no	nan	nan	nan	nan	no	no
419	Обратно към изходната точка. https://t.co/v4ICPbL8J5	no	nan	nan	nan	nan	no	no
420	не носете маски, казват някои. Не и този доктор. Както и други неща казва.. https://t.co/dcyvVb5Sid	no	nan	nan	nan	nan	no	no
421	Нарендра Моди проведе ползотворна дискусия с @eucopresident, н. пр. Шарл Мишел, за това как Индия и Европа могат да си сътрудничат по време на кризата COVID-19, за защита на глобалната система на здравеопазване и подпомагане на глобалното възстановяване на икономиката. https://t.co/aaHsk4PWB9	no	nan	nan	nan	nan	no	no
422	Въпреки че ръстът на инфекцията се задържа нисък, все още всеки може се зарази с COVID-19 и всеки може да го разпространява. Ние намаляваме риска от разпространение на вируса, като не забравяме да прилагаме по-висока хигиена, спазваме безопасна дистанция, събираме се на	no	nan	nan	nan	nan	no	no
423	Фонд „ОБЕДИНЕНИ срещу COVID-19“ отново приема кандидатури. С щедрата подкрепа на 23 дарители ще бъдат предоставени 896 000 лева на болници, общини, малки бизнеси и НПО в помощ на засегнатите от кризата хора. Кандидатствайте до 2⃣7⃣ април https://t.co/jrwdcvlOgY https://t.co/XASqQChq7k	yes	no	yes	no	no	no	no
424	Възстановяване на Европа 👉 днес и утре европейските лидери се срещат, за да търсят 🤝 споразумение по най-добрия възможен възстановителен план за ЕС след кризата с #coronavirus. Предложението накратко 👉 https://t.co/6NbSfLE9LN #EUBudget #NextGenerationEU #EUCO https://t.co/xLDjRg57jD	no	nan	nan	nan	nan	no	no
425	Попадали ли сте на фалшиви новини за #COVID19? Не вярвайте на всичко, което хората споделят! 🇪🇺 Проверете фактите 👉 https://t.co/2CuMZz0KcF Фактите за 🇧🇬 👉 https://t.co/viP52f0GnA https://t.co/e7mwacrwf2	no	nan	nan	nan	nan	no	no
426	Скъпи жълтопаветници, в тези трудни времена е най-важно, НАЙ-ВАЖ-НО, да запазим вярва в цивилизационния си избор, да го подкрепим безусловно, и да не изменяме на либералните му ценности. https://t.co/p9RNxmpAUj	no	nan	nan	nan	nan	no	no
